Time,Person In,Person Out
2022/09/02 13:27:31,1,
2022/09/02 13:27:43,,1
2022/09/02 13:27:50,1,
2022/09/02 13:28:13,1,
2022/09/02 13:28:45,,1
2022/09/02 13:30:47,,1
2022/09/02 13:31:35,,1
2022/09/02 13:31:36,,1
2022/09/02 13:31:37,,1
2022/09/02 13:31:38,,1
2022/09/02 13:33:42,,1
2022/09/02 13:33:42,,1
2022/09/02 13:34:10,,1
2022/09/02 13:34:18,1,
2022/09/02 13:34:25,,1
2022/09/02 13:34:35,1,
2022/09/02 13:34:55,1,
2022/09/02 13:36:48,1,
2022/09/02 13:37:22,1,
2022/09/02 13:38:59,,1
2022/09/02 13:39:13,1,
2022/09/02 13:40:52,1,
2022/09/02 13:40:54,,1
2022/09/02 13:40:54,,1
2022/09/02 13:40:55,,1
2022/09/02 13:40:55,1,
2022/09/02 13:41:36,1,
2022/09/02 13:42:36,,1
2022/09/02 13:42:44,1,
2022/09/02 13:43:12,,1
2022/09/02 13:44:02,,1
2022/09/02 13:44:23,1,
2022/09/02 13:45:17,,1
2022/09/02 13:45:27,1,
2022/09/02 13:45:28,1,
2022/09/02 13:45:30,1,
2022/09/02 13:45:36,,1
2022/09/02 13:46:19,,1
2022/09/02 13:47:08,1,
2022/09/02 13:48:10,,1
2022/09/02 13:48:56,,1
2022/09/02 13:50:14,,1
2022/09/02 13:51:33,,1
2022/09/02 13:52:18,1,
2022/09/02 13:52:31,,1
2022/09/02 13:52:40,1,
2022/09/02 13:53:52,,1
2022/09/02 13:54:29,1,
2022/09/02 13:55:21,,1
2022/09/02 13:56:10,1,
2022/09/02 13:56:25,1,
2022/09/02 13:56:40,,1
2022/09/02 13:57:29,,1
2022/09/02 13:58:03,,1
2022/09/02 13:58:04,,1
2022/09/02 13:58:06,,1
2022/09/02 13:58:06,,1
2022/09/02 13:58:06,,1
2022/09/02 13:58:06,,1
2022/09/02 13:58:19,,1
2022/09/02 13:58:20,,1
2022/09/02 13:58:31,,1
2022/09/02 13:58:50,1,
2022/09/02 13:58:52,1,
2022/09/02 13:58:53,,1
2022/09/02 13:59:03,,1
2022/09/02 13:59:34,,1
2022/09/02 13:59:37,1,
2022/09/02 14:00:24,,1
2022/09/02 14:00:52,1,
2022/09/02 14:02:22,,1
2022/09/02 14:02:24,,1
2022/09/02 14:04:22,1,
2022/09/02 14:05:31,1,
2022/09/02 14:07:17,,1
2022/09/02 14:07:29,,1
2022/09/02 14:09:45,,1
2022/09/02 14:10:15,1,
2022/09/02 14:10:17,1,
2022/09/02 14:11:46,1,
2022/09/02 14:13:26,,1
2022/09/02 14:13:29,1,
2022/09/02 14:13:40,,1
2022/09/02 14:13:42,,1
2022/09/02 14:13:49,,1
2022/09/02 14:14:53,,1
2022/09/02 14:14:54,,1
2022/09/02 14:14:55,,1
